SourceFile,EXIF:CreateDate,RTF:CreateDate,PDF:CreateDate,FlashPix:CreateDate,File:FileCreateDate,QuickTime:CreateDate,XMP:CreateDate,Composite:DateTimeOriginal,EXIF:DateTimeOriginal,XMP:DateTimeOriginal,XMP:DateTimeDigitized,QuickTime:MediaCreateDate,Composite:SubSecCreateDate,XMP:CreationDate,Matroska:DateTimeOriginal,QuickTime:TrackCreateDate,XML:CreateDate,Composite:SubSecDateTimeOriginal,EXIF:CreateDate_ts,RTF:CreateDate_ts,PDF:CreateDate_ts,FlashPix:CreateDate_ts,File:FileCreateDate_ts,QuickTime:CreateDate_ts,XMP:CreateDate_ts,Composite:DateTimeOriginal_ts,EXIF:DateTimeOriginal_ts,XMP:DateTimeOriginal_ts,XMP:DateTimeDigitized_ts,QuickTime:MediaCreateDate_ts,Composite:SubSecCreateDate_ts,XMP:CreationDate_ts,Matroska:DateTimeOriginal_ts,QuickTime:TrackCreateDate_ts,XML:CreateDate_ts,Composite:SubSecDateTimeOriginal_ts,EarliestTimestamp,EarliestYear
D:/HDD Data/OTHER/Downloads/Hardwell On Air 284.mp3,,,,,2025:10:31 17:52:20+01:00,,,,,,,,,,,,,,,,,,1761929540.0,,,,,,,,,,,,,,1761929540.0,2025
D:/HDD Data/OTHER/Downloads/Use of English 5.docx,,,,,2025:10:31 17:53:13+01:00,,,,,,,,,,,,2014:04:20 22:13:00Z,,,,,,1761929593.0,,,,,,,,,,,,1398031980.0,,1398031980.0,2014
D:/HDD Data/Downloads/Headcount (8).xlsx,,,,,2025:10:31 17:34:16+01:00,,,,,,,,,,,,2020:02:03 14:16:47+02:00,,,,,,1761928456.0,,,,,,,,,,,,1580732207.0,,1580732207.0,2020
D:/HDD Data/OTHER/Downloads/2013 07 03 ОФФ ДонНУ.part1.rar,,,,,2025:10:31 17:51:51+01:00,,,,,,,,,,,,,,,,,,1761929511.0,,,,,,,,,,,,,,1761929511.0,2025
D:/HDD Data/OTHER/Downloads/Grammar.zip,,,,,2025:10:31 17:52:19+01:00,,,,,,,,,,,,,,,,,,1761929539.0,,,,,,,,,,,,,,1761929539.0,2025
D:/HDD Data/OTHER/Downloads/us_gdpgr_88467512153214.xls,,,,,2025:10:31 17:53:14+01:00,,,,,,,,,,,,,,,,,,1761929594.0,,,,,,,,,,,,,,1761929594.0,2025
D:/HDD Data/Luxoft/FS updates/Excelian Openlink Overview for BNM - November 2018 v0.2.pdf,,,2018:11:06 14:22:20+02:00,,2025:10:31 17:50:50+01:00,,,,,,,,,,,,,,,,1541506940.0,,1761929450.0,,,,,,,,,,,,,,1541506940.0,2018
D:/HDD Data/OTHER/Downloads/Презентация на КОК 2016-2017_с учетом авансов ДТНГ 540 мио.грн_склады ТЭС ДТЭК.pptx,,,,,2025:10:31 17:53:22+01:00,,,,,,,,,,,,2016:06:14 15:36:20Z,,,,,,1761929602.0,,,,,,,,,,,,1465918580.0,,1465918580.0,2016
D:/HDD Data/Downloads/Researchers KPI (56).xlsx,,,,,2025:10:31 17:34:22+01:00,,,,,,,,,,,,2020:06:26 06:35:30Z,,,,,,1761928462.0,,,,,,,,,,,,1593153330.0,,1593153330.0,2020
D:/HDD Data/Luxoft/North America Accounts/North America_v11.xlsm,,,,,2025:10:31 17:50:57+01:00,,,,,,,,,,,,2019:04:15 15:23:27Z,,,,,,1761929457.0,,,,,,,,,,,,1555341807.0,,1555341807.0,2019
D:/HDD Data/Luxoft/FS updates/BNPP IB IT TCO Reduction Proposal v17.pdf,,,2019:03:11 11:14:25+02:00,,2025:10:31 17:50:49+01:00,,,,,,,,,,,,,,,,1552295665.0,,1761929449.0,,,,,,,,,,,,,,1552295665.0,2019
D:/HDD Data/Downloads/Candidate Sources_Cost per Hire (66).xlsx,,,,,2025:10:31 17:34:13+01:00,,,,,,,,,,,,2020:09:25 07:58:12Z,,,,,,1761928453.0,,,,,,,,,,,,1601020692.0,,1601020692.0,2020
D:/HDD Data/Ciklum/Locations Staticstics/Location_Statistics.pptx,,,,,2025:10:31 17:33:45+01:00,,,,,,,,,,,,2018:04:11 13:07:04Z,,,,,,1761928425.0,,,,,,,,,,,,1523452024.0,,1523452024.0,2018
D:/HDD Data/Ciklum/Taleo Upgrade/Parsing fields.docx,,,,,2025:10:31 17:34:01+01:00,,,,,,,,,,,,2020:08:17 12:32:00Z,,,,,,1761928441.0,,,,,,,,,,,,1597667520.0,,1597667520.0,2020
D:/HDD Data/Ciklum/Cost per Hire/Cost per Hire planning 12.10.2020.xlsx,,,,,2025:10:31 17:33:35+01:00,,,,,,,,,,,,2020:01:03 10:46:49Z,,,,,,1761928415.0,,,,,,,,,,,,1578048409.0,,1578048409.0,2020
D:/HDD Data/Ciklum/Job Post Report/Job Post report_Database_15.06.2020.xlsx,,,,,2025:10:31 17:33:45+01:00,,,,,,,,,,,,2020:05:28 15:51:19Z,,,,,,1761928425.0,,,,,,,,,,,,1590681079.0,,1590681079.0,2020
D:/HDD Data/Ciklum/eToro&Moon Active/All vacancies_9.10.2020.xlsx,,,,,2025:10:31 17:33:43+01:00,,,,,,,,,,,,2020:10:09 06:06:44Z,,,,,,1761928423.0,,,,,,,,,,,,1602223604.0,,1602223604.0,2020
D:/HDD Data/Luxoft/FS updates/non-GSA report as of 24.06.2019 by horizontal.pdf,,,2019:06:26 17:21:48+03:00,,2025:10:31 17:50:51+01:00,,,,,,,,,,,,,,,,1561558908.0,,1761929451.0,,,,,,,,,,,,,,1561558908.0,2019
D:/HDD Data/OTHER/Конкурс/07-11-2013_17-50-24.zip,,,,,2025:10:31 17:54:47+01:00,,,,,,,,,,,,,,,,,,1761929687.0,,,,,,,,,,,,,,1761929687.0,2025
D:/HDD Data/Ciklum/Cost per Hire/Cost per Hire planning 04.08.2020.xlsx,,,,,2025:10:31 17:33:35+01:00,,,,,,,,,,,,2020:01:03 10:46:49Z,,,,,,1761928415.0,,,,,,,,,,,,1578048409.0,,1578048409.0,2020
D:/HDD Data/Downloads/Recruitment Activity (45).xlsx,,,,,2025:10:31 17:34:20+01:00,,,,,,,,,,,,2020:04:16 11:29:18Z,,,,,,1761928460.0,,,,,,,,,,,,1587036558.0,,1587036558.0,2020
D:/HDD Data/0_duplicates/~$PL analysis_2017_05.09.2018_upd_v1.xlsx,,,,,2025:10:31 17:33:21+01:00,,,,,,,,,,,,,,,,,,1761928401.0,,,,,,,,,,,,,,1761928401.0,2025
D:/HDD Data/OTHER/Фильмы/Nevidimaja.storona.2009.P.HDRip.[uniongang.tv].avi,,,,,2025:10:31 18:10:14+01:00,,,,,,,,,,,,,,,,,,1761930614.0,,,,,,,,,,,,,,1761930614.0,2025
D:/HDD Data/Ciklum/Backlog cleaning/Backlog cleaning_27.11.2019_v2.xlsb,,,,,2025:10:31 17:33:30+01:00,,,,,,,,,,,,2019:11:27 10:21:34Z,,,,,,1761928410.0,,,,,,,,,,,,1574850094.0,,1574850094.0,2019
D:/HDD Data/Downloads/For Conversion Dashboard (1).xlsx,,,,,2025:10:31 17:34:15+01:00,,,,,,,,,,,,2020:10:19 11:34:02Z,,,,,,1761928455.0,,,,,,,,,,,,1603107242.0,,1603107242.0,2020
D:/HDD Data/Luxoft/North America Accounts/Avalanche_Phoenix_Flywheel Accounts Split_mapping.xlsx,,,,,2025:10:31 17:50:56+01:00,,,,,,,,,,,,2019:03:05 09:46:27Z,,,,,,1761929456.0,,,,,,,,,,,,1551779187.0,,1551779187.0,2019
D:/HDD Data/OTHER/Downloads/KSHMR-The-Fonda-Theatre-Los-Angeles-2015(muzofon.com).mp3,,,,,2025:10:31 17:52:39+01:00,,,,,,,,,,,,,,,,,,1761929559.0,,,,,,,,,,,,,,1761929559.0,2025
D:/HDD Data/Luxoft/FS updates/non-GSA as of 27 11.pdf,,,2018:11:28 13:03:13+02:00,,2025:10:31 17:50:51+01:00,,,,,,,,,,,,,,,,1543402993.0,,1761929451.0,,,,,,,,,,,,,,1543402993.0,2018
D:/HDD Data/OTHER/big 4/breili_richard_principy_korporativnyh_finansov.pdf,,,2012:03:15 19:53:40Z,,2025:10:31 17:51:20+01:00,,,,,,,,,,,,,,,,1331841220.0,,1761929480.0,,,,,,,,,,,,,,1331841220.0,2012
D:/HDD Data/OTHER/ФЛЭШКА/Labor costs1.xlsx,,,,,2025:10:31 18:27:29+01:00,,,,,,,,,,,,2013:11:11 15:00:26Z,,,,,,1761931649.0,,,,,,,,,,,,1384182026.0,,1384182026.0,2013
D:/HDD Data/Luxoft/FS updates/CBA-MX-3.1.42-Upgrade-Analysis.pdf,,,2018:06:20 13:03:21+03:00,,2025:10:31 17:50:49+01:00,,,,,,,,,,,,,,,,1529489001.0,,1761929449.0,,,,,,,,,,,,,,1529489001.0,2018
D:/HDD Data/Ciklum/Report For Myroslava/1.txt,,,,,2025:10:31 17:33:52+01:00,,,,,,,,,,,,,,,,,,1761928432.0,,,,,,,,,,,,,,1761928432.0,2025
D:/HDD Data/Luxoft/FS updates/2019-03_Glencore RFP.pdf,,,2019:04:03 14:30:31+03:00,,2025:10:31 17:50:48+01:00,,,,,,,,,,,,,,,,1554291031.0,,1761929448.0,,,,,,,,,,,,,,1554291031.0,2019
D:/HDD Data/Downloads/Recomendations (6).xlsx,,,,,2025:10:31 17:34:19+01:00,,,,,,,,,,,,2020:02:10 10:14:38Z,,,,,,1761928459.0,,,,,,,,,,,,1581329678.0,,1581329678.0,2020
D:/HDD Data/1_uniques/WP_20160409_16_51_29_Pro.jpg,2016:04:09 16:51:29,,,,2025:10:31 17:33:28+01:00,,,,2016:04:09 16:51:29,,,,,,,,,,1460213489.0,,,,1761928408.0,,,,1460213489.0,,,,,,,,,,1460213489.0,2016
D:/HDD Data/Downloads/Candidate Sources_Cost per Hire (42).xlsx,,,,,2025:10:31 17:34:13+01:00,,,,,,,,,,,,2020:05:18 12:50:26Z,,,,,,1761928453.0,,,,,,,,,,,,1589806226.0,,1589806226.0,2020
D:/HDD Data/OTHER/ФЛЭШКА/First question.docx,,,,,2025:10:31 18:27:29+01:00,,,,,,,,,,,,2013:11:09 15:08:00Z,,,,,,1761931649.0,,,,,,,,,,,,1384009680.0,,1384009680.0,2013
D:/HDD Data/Ciklum/Account analysis/Global Account Segmentation.xlsx,,,,,2025:10:31 17:33:30+01:00,,,,,,,,,,,,,,,,,,1761928410.0,,,,,,,,,,,,,,1761928410.0,2025
D:/HDD Data/OTHER/Downloads/Paper P2.pdf,,,2014:01:20 18:36:34+02:00,,2025:10:31 17:52:52+01:00,,2014:01:20 18:36:34+02:00,,,,,,,,,,,,,,1390235794.0,,1761929572.0,,1390235794.0,,,,,,,,,,,,1390235794.0,2014
D:/HDD Data/OTHER/Downloads/ДЗ.XLSX,,,,,2025:10:31 17:53:21+01:00,,,,,,,,,,,,,,,,,,1761929601.0,,,,,,,,,,,,,,1761929601.0,2025
D:/HDD Data/0_duplicates/~$Mar F&F vs Plan'19.xlsx,,,,,2025:10:31 17:33:21+01:00,,,,,,,,,,,,,,,,,,1761928401.0,,,,,,,,,,,,,,1761928401.0,2025
D:/HDD Data/0_duplicates/~$Salesforce Opportunity Tracker_08.08.2019.xlsx,,,,,2025:10:31 17:33:21+01:00,,,,,,,,,,,,,,,,,,1761928401.0,,,,,,,,,,,,,,1761928401.0,2025
D:/HDD Data/1_uniques/2005 Estimate (Sales Tax Preference=On.iif,,,,,2025:10:31 17:33:21+01:00,,,,,,,,,,,,,,,,,,1761928401.0,,,,,,,,,,,,,,1761928401.0,2025
D:/HDD Data/Ciklum/Startup/Детальный перечень выполняемых задач.xlsx,,,,,2025:10:31 17:33:59+01:00,,,,,,,,,,,,2020:04:27 13:12:31Z,,,,,,1761928439.0,,,,,,,,,,,,1587993151.0,,1587993151.0,2020
D:/HDD Data/0_duplicates/AlbumArt_{8792034B-4220-4919-9A4E-0449829823FE}_Large.jpg,,,,,2025:10:31 17:33:21+01:00,,,,,,,,,,,,,,,,,,1761928401.0,,,,,,,,,,,,,,1761928401.0,2025
D:/HDD Data/OTHER/Downloads/MARNIK ARENA - #MA002 GuestMix_ VINAI.mp3,,,,,2025:10:31 17:52:43+01:00,,,,,,,,,,,,,,,,,,1761929563.0,,,,,,,,,,,,,,1761929563.0,2025
D:/HDD Data/OTHER/beautiq.com.ua/cosmetica (2).xls,,,,2012:02:22 12:55:29,2025:10:31 17:51:19+01:00,,,,,,,,,,,,,,,,,1329911729.0,1761929479.0,,,,,,,,,,,,,,1329911729.0,2012
D:/HDD Data/Luxoft/20M business case/Financial model_20M_17.04.2019_v2.xlsb,,,,,2025:10:31 17:49:59+01:00,,,,,,,,,,,,2006:09:16 00:00:00Z,,,,,,1761929399.0,,,,,,,,,,,,1158364800.0,,1158364800.0,2006
D:/HDD Data/Downloads/Researchers KPI (36).xlsx,,,,,2025:10:31 17:34:22+01:00,,,,,,,,,,,,2020:03:23 09:21:14Z,,,,,,1761928462.0,,,,,,,,,,,,1584955274.0,,1584955274.0,2020
D:/HDD Data/OTHER/Расшифровка/Инструкция по формирования Фактической реализации Рисков БП по ДКД.docx,,,,,2025:10:31 17:57:46+01:00,,,,,,,,,,,,2017:01:17 20:01:00Z,,,,,,1761929866.0,,,,,,,,,,,,1484683260.0,,1484683260.0,2017
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot - 2020-07-31T160640.412.xlsx,,,,,2025:10:31 17:34:11+01:00,,,,,,,,,,,,2020:07:31 13:06:39Z,,,,,,1761928451.0,,,,,,,,,,,,1596200799.0,,1596200799.0,2020
D:/HDD Data/Luxoft/North America Accounts/North America_v9.xlsm,,,,,2025:10:31 17:50:58+01:00,,,,,,,,,,,,2019:04:15 15:23:27Z,,,,,,1761929458.0,,,,,,,,,,,,1555341807.0,,1555341807.0,2019
D:/HDD Data/Downloads/Candidate Sources (15).xlsx,,,,,2025:10:31 17:34:12+01:00,,,,,,,,,,,,2020:01:03 14:34:26Z,,,,,,1761928452.0,,,,,,,,,,,,1578062066.0,,1578062066.0,2020
D:/HDD Data/Ciklum/eToro&Moon Active/Vacancies Pipeline Deep Dive_eToro_v2.xlsx,,,,,2025:10:31 17:33:44+01:00,,,,,,,,,,,,2020:09:07 10:42:41Z,,,,,,1761928424.0,,,,,,,,,,,,1599475361.0,,1599475361.0,2020
D:/HDD Data/Downloads/Researchers KPI (38).xlsx,,,,,2025:10:31 17:34:22+01:00,,,,,,,,,,,,2020:03:26 09:57:46Z,,,,,,1761928462.0,,,,,,,,,,,,1585216666.0,,1585216666.0,2020
D:/HDD Data/OTHER/ФЛЭШКА/State Opening of Parliament 2013.mp4,,,,,2025:10:31 18:27:29+01:00,2013:05:07 11:31:26,,,,,,2013:05:07 11:31:29,,,,0000:00:00 00:00:00,,,,,,,1761931649.0,1367919086.0,,,,,,1367919089.0,,,,,,,1367919086.0,2013
D:/HDD Data/OTHER/Downloads/Презентація Швецова.pptx,,,,,2025:10:31 17:53:22+01:00,,,,,,,,,,,,2016:04:23 14:52:00Z,,,,,,1761929602.0,,,,,,,,,,,,1461423120.0,,1461423120.0,2016
D:/HDD Data/OTHER/Downloads/us_fdiflowsstock_28943852844261.xls,,,,,2025:10:31 17:53:14+01:00,,,,,,,,,,,,,,,,,,1761929594.0,,,,,,,,,,,,,,1761929594.0,2025
D:/HDD Data/OTHER/Downloads/LAqj2nr0w4s.jpg,,,,,2025:10:31 17:52:40+01:00,,,,,,,,,,,,,,,,,,1761929560.0,,,,,,,,,,,,,,1761929560.0,2025
D:/HDD Data/Luxoft/North America Accounts/SAM_NA_April 26th.pptx,,,,,2025:10:31 17:50:58+01:00,,,,,,,,,,,,2017:08:21 09:15:01Z,,,,,,1761929458.0,,,,,,,,,,,,1503306901.0,,1503306901.0,2017
D:/HDD Data/Downloads/Researchers KPI (39).xlsx,,,,,2025:10:31 17:34:22+01:00,,,,,,,,,,,,2020:03:26 13:53:19Z,,,,,,1761928462.0,,,,,,,,,,,,1585230799.0,,1585230799.0,2020
D:/HDD Data/OTHER/Downloads/Main (1).exe,,,,,2025:10:31 17:52:42+01:00,,,,,,,,,,,,,,,,,,1761929562.0,,,,,,,,,,,,,,1761929562.0,2025
D:/HDD Data/OTHER/CFA/2012.CFA.L2B2.pdf,,,2011:09:30 10:25:13+08:00,,2025:10:31 17:51:37+01:00,,2011:09:30 10:25:13+08:00,,,,,,,,,,,,,,1317349513.0,,1761929497.0,,1317349513.0,,,,,,,,,,,,1317349513.0,2011
D:/HDD Data/0_duplicates/~$Cognos Structure FY'20.pptx,,,,,2025:10:31 17:33:21+01:00,,,,,,,,,,,,,,,,,,1761928401.0,,,,,,,,,,,,,,1761928401.0,2025
D:/HDD Data/Ciklum/Recruitment process/Recruitment process as is with automation proposals (in orange).png,,,,,2025:10:31 17:33:52+01:00,,,,,,,,,,,,,,,,,,1761928432.0,,,,,,,,,,,,,,1761928432.0,2025
D:/HDD Data/OTHER/Downloads/kLvZyasxRJU.jpg,,,,,2025:10:31 17:52:39+01:00,,,,,,,,,,,,,,,,,,1761929559.0,,,,,,,,,,,,,,1761929559.0,2025
D:/HDD Data/OTHER/Фильмы/Klyuch.ot.vseh.dverei.2005.x264.BDRip.(AVC)-Kinozal.TV-AVC.mkv,,,,,2025:10:31 18:05:10+01:00,,,,,,,,,,2011:04:02 10:00:55Z,,,,,,,,1761930310.0,,,,,,,,,,1301738455.0,,,,1301738455.0,2011
D:/HDD Data/Luxoft/AVALOQ ACTIVITIES/Avaloq Global Rate Card Proposal.pptx,,,,,2025:10:31 17:50:04+01:00,,,,,,,,,,,,2018:03:03 10:09:04Z,,,,,,1761929404.0,,,,,,,,,,,,1520071744.0,,1520071744.0,2018
D:/HDD Data/OTHER/Downloads/KSHMR-Dzeko-Torres-Imaginate-Original-Mix_(get-tune.net).mp3,,,,,2025:10:31 17:52:39+01:00,,,2015,,,,,,,,,,,,,,,1761929559.0,,,,,,,,,,,,,,1761929559.0,2025
D:/HDD Data/OTHER/Downloads/Amazon. Amazon Fulfilled Shipments 06 01 17 - 06 30 17 (2).txt,,,,,2025:10:31 17:51:54+01:00,,,,,,,,,,,,,,,,,,1761929514.0,,,,,,,,,,,,,,1761929514.0,2025
D:/HDD Data/Ciklum/Detailed Step Duration analysis/Step duration_Q1'19.xlsx,,,,,2025:10:31 17:33:41+01:00,,,,,,,,,,,,2020:02:21 11:05:18Z,,,,,,1761928421.0,,,,,,,,,,,,1582283118.0,,1582283118.0,2020
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot - 2020-10-01T093801.707.xlsx,,,,,2025:10:31 17:34:11+01:00,,,,,,,,,,,,2020:10:01 06:38:00Z,,,,,,1761928451.0,,,,,,,,,,,,1601534280.0,,1601534280.0,2020
D:/HDD Data/OTHER/The investment consisten of ecomomic cycle 2.docx,,,,,2025:10:31 17:51:17+01:00,,,,,,,,,,,,2015:10:25 16:35:00Z,,,,,,1761929477.0,,,,,,,,,,,,1445790900.0,,1445790900.0,2015
D:/HDD Data/Галаган Дмитро Акти/Галаган Дмитро/Серпень 2022 Галаган.pdf,,,,,2025:10:31 18:28:42+01:00,,,,,,,,,,,,,,,,,,1761931722.0,,,,,,,,,,,,,,1761931722.0,2025
D:/HDD Data/Ciklum/Due Dilligence/PEAK_service.pptx,,,,,2025:10:31 17:33:43+01:00,,,,,,,,,,,,2014:05:19 17:01:52Z,,,,,,1761928423.0,,,,,,,,,,,,1400518912.0,,1400518912.0,2014
D:/HDD Data/OTHER/Downloads/Serebro - Мало тебя (Dj Amor Remix) (promodj.com).mp3,,,,,2025:10:31 17:52:59+01:00,,,2013,,,,,,,,,,,,,,,1761929579.0,,,,,,,,,,,,,,1761929579.0,2025
D:/HDD Data/Ciklum/Different Statistics/Internal referral_analysis by cities_24.9.2020.xlsx,,,,,2025:10:31 17:33:42+01:00,,,,,,,,,,,,2020:08:06 11:47:56Z,,,,,,1761928422.0,,,,,,,,,,,,1596714476.0,,1596714476.0,2020
D:/HDD Data/OTHER/Фильмы/Trol_v_centralnom_parke_DVDRip_[rutracker.org].avi,,,,,2025:10:31 18:19:24+01:00,,,,,,,,,,,,,,,,,,1761931164.0,,,,,,,,,,,,,,1761931164.0,2025
D:/HDD Data/Ciklum/Remote Hiring/EPAM.pdf,,,2020:03:30 15:52:01+03:00,,2025:10:31 17:33:52+01:00,,2020:03:30 15:52:01+03:00,,,,,,,,,,,,,,1585572721.0,,1761928432.0,,1585572721.0,,,,,,,,,,,,1585572721.0,2020
D:/HDD Data/OTHER/CFA/2012.L3.B2.pdf,,,2011:09:20 09:26:11+08:00,,2025:10:31 17:51:44+01:00,,2011:09:20 09:26:11+08:00,,,,,,,,,,,,,,1316481971.0,,1761929504.0,,1316481971.0,,,,,,,,,,,,1316481971.0,2011
D:/HDD Data/Downloads/External costs_Feb-20 (1).xlsx,,,,,2025:10:31 17:34:15+01:00,,,,,,,,,,,,2020:03:10 12:56:32Z,,,,,,1761928455.0,,,,,,,,,,,,1583844992.0,,1583844992.0,2020
D:/HDD Data/OTHER/Downloads/Freaky_Fortune_feat._RiskyKidd_-_Rise_Up_(Evrovidenie_2014_Greciya)_(PrimeMusic.ru).mp3,,,,,2025:10:31 17:52:18+01:00,,,2014,,,,,,,,,,,,,,,1761929538.0,,,,,,,,,,,,,,1761929538.0,2025
D:/HDD Data/Luxoft/North America Accounts/North America_v5_with comments.xlsm,,,,,2025:10:31 17:50:58+01:00,,,,,,,,,,,,2019:04:15 15:23:27Z,,,,,,1761929458.0,,,,,,,,,,,,1555341807.0,,1555341807.0,2019
D:/HDD Data/OTHER/Abstract.docx,,,,,2025:10:31 17:51:16+01:00,,,,,,,,,,,,2015:04:05 17:19:00Z,,,,,,1761929476.0,,,,,,,,,,,,1428254340.0,,1428254340.0,2015
D:/HDD Data/OTHER/Downloads/Will.I.Am_and_Cody_Wise_-_Birthday_(PrimeMusic.ru).mp3,,,,,2025:10:31 17:53:20+01:00,,,2014,,,,,,,,,,,,,,,1761929600.0,,,,,,,,,,,,,,1761929600.0,2025
D:/HDD Data/Downloads/Candidate Sources_Cost per Hire (28).xlsx,,,,,2025:10:31 17:34:13+01:00,,,,,,,,,,,,2020:03:19 09:31:58Z,,,,,,1761928453.0,,,,,,,,,,,,1584610318.0,,1584610318.0,2020
D:/HDD Data/Downloads/Candidate Sources_Cost per Hire (51).xlsx,,,,,2025:10:31 17:34:13+01:00,,,,,,,,,,,,2020:07:20 07:13:47Z,,,,,,1761928453.0,,,,,,,,,,,,1595229227.0,,1595229227.0,2020
D:/HDD Data/OTHER/Диплом Галаган/SBushuyev_ch30_p493-516.pdf,,,2007:08:07 17:04:47+05:30,,2025:10:31 17:54:46+01:00,,2007:08:07 17:04:47+05:30,,,,,,,,,,,,,,1186486487.0,,1761929686.0,,1186486487.0,,,,,,,,,,,,1186486487.0,2007
D:/HDD Data/OTHER/Downloads/Enrique_Iglesias_feat._Pitbull_-_Freak_(www.primemusic.ru).mp3,,,,,2025:10:31 17:52:14+01:00,,,2013,,,,,,,,,,,,,,,1761929534.0,,,,,,,,,,,,,,1761929534.0,2025
D:/HDD Data/Luxoft/CG Discount Proposal/Proposed Cost Reduction Model.pptx,,,,,2025:10:31 17:50:44+01:00,,,,,,,,,,,,2018:12:07 11:27:48Z,,,,,,1761929444.0,,,,,,,,,,,,1544182068.0,,1544182068.0,2018
D:/HDD Data/Luxoft/Zurich Insurance/Zurich Insurance Group - Workshop 11th of June v6 (1).pptx,,,,,2025:10:31 17:51:15+01:00,,,,,,,,,,,,2018:12:06 19:17:18Z,,,,,,1761929475.0,,,,,,,,,,,,1544123838.0,,1544123838.0,2018
D:/HDD Data/Downloads/Candidate Sources (3).xlsx,,,,,2025:10:31 17:34:12+01:00,,,,,,,,,,,,2019:12:18 11:48:25Z,,,,,,1761928452.0,,,,,,,,,,,,1576669705.0,,1576669705.0,2019
D:/HDD Data/Downloads/Ciklum_Ukraine_Independent_Contractor_Offer_Yurii+Lubynets.pdf,,,2019:10:17 12:29:27+03:00,,2025:10:31 17:34:14+01:00,,,,,,,,,,,,,,,,1571304567.0,,1761928454.0,,,,,,,,,,,,,,1571304567.0,2019
