FileExt,Software,Description,FileCategory
MP3,"VLC, Windows Media Player",MPEG-1 Audio Layer III,Audio
MP4,"VLC, Windows Media Player",MPEG-4 Part 14,Video
MPEG,"VLC, Windows Media Player",Moving Picture Experts Group,Video
MPG,"VLC, Windows Media Player",MPEG Video File,Video
MRIMGX,Macrium Reflect,Disk Image,SystemBackup
MSG,Microsoft Outlook,Microsoft Outlook Email Message,Email
MSI,Windows,Microsoft Installer,Application
NFO,Windows,System Information File,Application
NPY,Python (NumPy),NumPy Array File,Data-Other
NSMP7,Other,Other,Other
OGG,"VLC, Windows Media Player",Ogg Vorbis Audio File,Audio
ORF,"Olympus Viewer, Photoshop, Windows Photos",Olympus Raw Format,Image
OTHER,,,Other
PACK,Git,Packfile,Application
PARQUET,"Apache Spark, Pandas, PyArrow, AWS Athena",Apache Parquet File,Data-Other
PBIX,Microsoft Power BI,Power BI Desktop File,Data-PowerBI
PCKL,VS Code,Python Pickle file,Data-Other
PDF,"Adobe Acrobat, Foxit Reader, Preview, Web Browsers",Portable Document Format,Documents-PDF
PKL,VS Code,Python Pickle File,Data-Other
PNG,"Paint, Photoshop, Windows Photos, Preview",Portable Network Graphics,Image
POTX,Microsoft Power Point,PowerPoint Macro-Enabled Template,Data-PowerPoint
PPT,Microsoft Power Point,Microsoft PowerPoint 97–2003 Presentation,Data-PowerPoint
PPTM,Microsoft Power Point,PowerPoint Macro-Enabled Presentation,Data-PowerPoint
PPTX,Microsoft Power Point,Microsoft PowerPoint Open XML Presentation,Data-PowerPoint
PS1,Windows,Windows PowerShell,Script
PST,Microsoft Outlook,Personal Storage Table (Outlook Data File),Email
PTH,Python (PyTorch),PyTorch Model File,Data-Other
PY,VS Code,Python Source File,Script
PYC,Python Interpreter,Python Compiled File,Cache
QST,Quiz Interactive App,Other,Application
QSZ,Quiz Interactive App,Other,Application
RAR,"WinRAR, 7-Zip",Roshal Archive,Archive
RDP,Windows,Microsoft Remote Desktop,Application
REG,Windows,Windows Registry File,Application
REGISTRY,Windows,Windows Registry,Application
REV,Git,Reverse index file,Application
RTF,"Microsoft Word, WordPad, LibreOffice",Rich Text Format Document,Documents-Word
SAMPLE,Other,Other,Other
SEDB,Windows,Windows Search,Application
SFR,Other,Other,Other
SFV,Other,Simple File Verification,Other
SGN,Games,Signature File,Application
SH,VS Code,Unix/Linux Shell Script,Script
SQL,VS Code,SQL Script / Query,Script
SQLITE,SQLite,SQLite Database,Database
SRT,"VLC, Windows Media Player",SubRip Subtitle file,Video
SWF,VLC,Shockwave Flash,Video
SYS,Windows,Windows System File,Application
TAR,"WinRAR, 7-Zip, Linux tar command",Tape Archive,Archive
THM,"Camera Software, Image Viewers",Thumbnail file,Image
TMP,Other,Temporary File,Other
TRASHES,Other,Deleted files,Other
TXT,Any Text Editor,Plain Text File,Documents-Text
URL,Other,Other,Other
WAV,"VLC, Windows Media Player",Waveform Audio File Format,Audio
WMV,"VLC, Windows Media Player",Windows Media Video,Video
X32,Quiz Interactive App,Plugin,Application
XLS,Microsoft Excel,Microsoft Excel 97–2003 Workbook,Data-Excel
XLSB,Microsoft Excel,Microsoft Excel Binary Workbook,Data-Excel
XLSM,Microsoft Excel,Microsoft Excel Open XML Macro-Enabled Workbook,Data-Excel
XLSX,Microsoft Excel,Microsoft Excel Open XML Spreadsheet,Data-Excel
XML,VS Code,Extensible Markup Language,Data-Other
XZ,Linux,XZ Compressed File,Application
XZM,Linux,Linux System Module,Application
YML,VS Code,YAML Files,Data-Other
ZIP,"WinRAR, 7-Zip, Windows Explorer",ZIP Archive,Archive
DOT,,,Other
WIZ,,,Other
PPS,,,Other
XLA,,,Other
